Number,StartMilliseconds,EndMilliseconds,Text
1,64064,66089,CITY OF GOD
2,127827,132821,"Fuck, the chicken's got away!
Go after that chicken, man!"
3,135335,136927,Get that chicken!
4,157857,160451,"If it's a good photo,
I'll get a job at the paper."
5,160660,163527,"- You think so, Rocket?
- Gotta take the risk."
6,163730,168099,"You'd risk your life
for a picture? Forget it!"
7,168268,171704,"You think I want to meet up
with that motherfucking hood?"
8,172872,174100,"Get that chicken, bro!"
9,179179,181409,"Motherfucker!
I told you to grab that chicken!"
10,182048,183106,Outta my way!
11,184784,186217,Get that chicken!
12,205905,207896,"If Li'l Zé catches you,
he'll kill you."
13,209609,211736,"Yeah, well,
he's gotta find me first."
14,221454,223285,"Hey, kid! Get that chicken!"
15,224157,225089,Get that chicken!
16,227827,228816,Shit! The cops!
17,229095,230926,Don't fucking run off!
18,231331,232628,Give me that.
19,235668,238432,"Hey, Melonhead!
You fucking fag!"
20,239572,242040,"A picture
could change my life, but"
21,242375,245367,"in the City of God,
if you run away, they get you"
22,246112,247579,"and if you stay,
they get you too,"
23,249816,252307,"It's been that way ever
since I was a kid,"
24,265465,267626,"You're useless, man!"
25,267867,270233,"- Go get the ball!
- Fucking useless!"
26,273539,274801,"Hey, kid!"
27,275074,276939,"Give me the ball, I wanna play."
28,281080,282672,You wanna mess with me?
29,284751,286082,Fuck off.
30,286219,287277,What's your name?
31,288221,290121,"Sorry,
I forgot to introduce myself,"
32,290323,291620,My name's Rocket.
33,291824,293689,"Some advice, Rocket."
34,293926,297293,"Don't let Li'I Dice
touch that ball. He sucks."
35,297497,298828,"You lose, pal."
36,299232,300426,"That's Shaggy,"
37,300633,303158,"To tell the story
of the City of God,"
38,303369,305200,"I have to start with him,"
39,305405,306463,8...
40,306673,308868,"9, 10, 11..."
41,309075,311168,"But in order to tell
Shaggy's story,"
42,311577,313374,"I must tell the story
of the Tender Trio,"
43,313780,315771,"Well, Shaggy?
The gas truck's coming."
44,316049,317812,"What are you
fucking around for?"
45,318051,319211,You're not gonna chicken out.
46,332131,335692,"The notorious Tender Trio was
legendary in the City of God,"
47,336202,337226,"Shaggy,"
48,338438,339905,"Clipper,"
49,340807,342399,"and Goose,"
50,344110,347876,"Tagging along were always
Li'I Dice and Benny,"
51,348081,350072,"Shaggy's brother,"
52,351484,353509,"I never had the courage
to follow my brother, Goose,"
53,363296,364092,"Okay, let's go."
54,364297,365355,"Come on, Goose."
55,366032,367090,Let's go!
56,367667,369760,Stop this fucker!
57,386719,389051,"Stop or I'll shoot,
motherfucker!"
58,389522,390284,Get out!
59,394494,398430,"Hurry up, asshole!
Gimme the money!"
60,400933,403128,Who wants gas?
61,410076,413443,"More! You wanna die
for your boss' damn money?"
62,413646,415739,Shitloads of money here!
63,417950,419212,"You see, asshole?"
64,422355,423344,Fuck! The cops!
65,423790,425781,"Clear out!
The place is crawling with cops!"
66,434100,437763,"- Shaggy!
- The ball, Goose, it's yours!"
67,466466,469333,"Back then, I thought
the guys in the Tender Trio"
68,469535,472060,"were the most dangerous hoods
in Rio,"
69,473072,475063,Here! Buy some new balls.
70,476943,479275,"But they were just amateurs,"
71,483015,484277,"Even my brother, Goose,"
72,484884,486408,"Rocket, give this money to dad."
73,487653,491145,"But don't tell him
it's from me."
74,491691,492680,Okay?
75,494026,496017,"- Hey, Stringy!
- Yeah?"
76,496195,497457,Look how much I've got.
77,515381,517178,We came to the City of God
78,517450,519680,"hoping to find paradise,"
79,520086,523180,Many families were homeless
80,523389,524788,due to flooding
81,525057,527252,"and acts of arson
in the slums,"
82,527460,528518,A street light!
83,528728,530593,We'll have electricity!
84,530796,532855,"The bigwigs in government
didn't joke around,"
85,533065,535898,"Homeless?
Off to City of God!"
86,536202,540263,"There was no electricity, paved
streets or transportation,"
87,540473,543806,"But for the rich and powerful
our problems didn't matter,"
88,544010,546137,We were too far removed
89,546345,549246,"from the picture postcard image
of Rio de Janeiro,"
90,566198,568792,"Do you think I can become
a lifeguard one day?"
91,569235,570361,I don't know.
92,571270,574205,"Being a lifeguard
is better than a fishmonger."
93,574407,577069,"I don't want to sell fish.
It stinks."
94,577410,579640,"- Are you insulting your father?
- No."
95,581514,583482,So what do you want to be?
96,583916,585474,I don't know.
97,585918,588113,Not a hood or a policeman.
98,588521,589317,Why not?
99,589522,591387,I'm scared of getting shot.
100,596529,598053,"Put that thing away, kid."
101,598464,601433,"Are you nuts?
Pointing that gun at me?"
102,602201,603725,"Take it easy with the kid,
Goose."
103,604136,605831,Li'I Dice is with me.
104,606205,609072,"Right, I'm a gangster too."
105,609208,610800,"That gas truck
didn't bring much."
106,611077,613602,"So what?
We rob gas trucks every day."
107,613946,615436,"One today,
another tomorrow."
108,615648,617946,"No, we need to rob
some rich guy's house."
109,618150,620482,"That's the only way
to get outta here."
110,620686,624087,"Hell, no. What you need
is to follow my plan."
111,624156,625088,That's it.
112,625925,629827,"The little fart's getting
too big for his britches!"
113,636235,639261,"He gets high
and starts talking bullshit."
114,640940,642168,You two junkies
115,642375,644240,"aren't worth
half as much as that kid."
116,646512,649640,"What you got in mind,
Li'I Dice?"
117,649849,652647,"To be a real hood
you need more than just a gun,"
118,652852,654319,"You need ideas,"
119,657757,658655,"And Li'I Dice had them,"
120,658858,661884,"- Is that the motel?
- Yeah."
121,662094,667327,"We go in, grab the money and get
out. No killing, got that?"
122,668601,669795,I need this.
123,670069,673470,"- Don't touch my gun, kid.
- Don't ever do that again."
124,673806,675603,"- Don't point at me.
- Fuck you."
125,675808,676797,Don't point your finger at me!
126,677410,678843,Stop acting like a baby!
127,679812,680938,Here's yours.
128,681247,683738,"- Awesome!
- Let's go!"
129,684450,686418,"- Not so fast!
- What?"
130,686619,687916,You stay here and keep watch.
131,689488,694323,"If the cops come,
shoot that window over there."
132,694860,696418,"Why me?
Let that dork do that."
133,696762,697353,Look.
134,698097,700088,"I gave you this great plan,
for free."
135,700232,703224,"While that guy's
absolutely useless!"
136,703436,704960,"- You just had the idea.
- Exactly!"
137,705171,707230,"You're just a kid, remember?"
138,707840,710172,"You cover us, okay?"
139,711110,716446,"You'll get your turn.
Stop trying to rush things."
140,717116,718515,You stay there.
141,723289,726383,"This is a hold-up, bitch."
142,729495,733056,"You should be studying
or working."
143,733199,736259,"You don't even look like
hoodlums."
144,736469,740132,"Instead, you ought to be
working or studying, boy."
145,740339,743900,"Shut up!
What a pain in the ass!"
146,744510,745875,"Okay, Clipper?"
147,748080,749809,Shall we go in?
148,755488,757080,I didn't order anything.
149,757757,760419,"It's on the house, sir.
Hand over the money!"
150,762228,764526,"Keep calm,
all I want is your cash."
151,764730,766561,"- Don't point that...
- Your wallet..."
152,778244,778869,"Hey, man."
153,779578,782706,"What kind of whorehouse
is this?"
154,785384,787875,"- You from the church?
- Yes, brother."
155,790689,792088,Give it to me!
156,794493,795289,Slut!
157,796061,798052,You're fat and flabby!
158,798397,800627,Wanna take her place?
159,805437,807064,What's going on?
160,809074,810507,The cops! Let's beat it!
161,810709,811641,Let's go!
162,816348,818543,"Take that car.
I'll go get Li'I Dice."
163,821153,822518,"Jesus, what a car!"
164,829094,830891,"Something fucked up.
Li'I Dice is gone."
165,831130,833462,"The cops are shooting,
let's go!"
166,861660,863924,Slow down! Hold on.
167,864129,866654,You said you knew how to drive.
168,866866,868458,"I do, so cool it!"
169,868667,870191,Turn! Watch out!
170,883749,885273,You fucking asshole!
171,885484,888146,"Hey, I didn't do it on purpose."
172,889488,890750,No one saw anything.
173,891090,893081,"So keep your mouths shut,
understand?"
174,896762,898457,"Hold on, I twisted my ankle."
175,899565,901465,Goose fucked up his ankle.
176,902468,903435,It fucking hurts.
177,903636,906662,"Take him into the woods.
I'll shoot to distract the cops."
178,907306,909103,"- In God we trust.
- In God we trust."
179,914847,916712,"Pass me the telephone, Penguin."
180,917583,921246,"Shorty is another notorious
guy in the City of God,"
181,922054,923612,"But it's not yet time
to tell the story,"
182,925524,927515,"It fucking hurts, Goose."
183,928394,929793,Shut up.
184,930195,933926,"You sound like a damn sissy,
man."
185,938904,940599,Climb up!
186,940806,942068,No one saw anything?
187,942474,944874,"How odd!
A car crashes into a bar"
188,945077,946066,and no one saw a thing.
189,946478,948537,"I suppose
you didn't see anything either?"
190,948747,949679,"As usual,"
191,950749,953741,"no one saw, no one knows."
