Number,StartMilliseconds,EndMilliseconds,Text
1,209876,211537,"""She knew a trick."
2,212545,216675,"""She knew how to turn her life into a movie
and watch things happen."
3,218051,222545,"""Not to her,
but to a girl who looked just like her."
4,223523,224922,"""Was she the runaway"
5,225024,228790,"""with everything she owned
in a ratty old backpack?"
6,228895,233127,"""Or, was she watching a movie about
a hitchhiking runaway on a lonely highway?"
7,234467,238062,"""A truck slowed till the girl squinted
in his headlights."
8,238905,240463,"""But one good look at her"
9,240573,242700,"""and the trucker couldn't get out of there
fast enough."
10,243476,245637,"""She didn't even have the strength
to curse him"
11,245745,249010,"""as she choked on the dust
of his spinning wheels."""
12,301567,305367,"I'm sorry, Mr. Norquist.
I know I should have this by now."
13,305471,307462,"You've been distracted lately, Aubrey."
14,308541,312272,"The next Young Artist Competition
is less than a month away."
15,313079,314603,I know. I know.
16,321187,322779,Watch this hand.
17,336769,338236,You see how easy?
18,340006,341098,Yeah.
19,343409,345172,I've been meaning to talk to you.
20,345812,347609,"You know, I've been thinking, and..."
21,349148,352140,"I just... I don't know if I'm cut out
to play piano anymore."
22,353152,356986,"Aubrey, all artists feel that way. It's normal."
23,357090,359558,"No, I... I want to quit."
24,360360,363796,"I mean, I barely made my winter admit
to Yale, and I could still blow it."
25,364764,367790,"I just need to concentrate
all of my efforts into writing."
26,367900,370960,"But you have a gift, an innate talent."
27,371070,373300,You won the Young Artist Competition.
28,373406,376034,"I mean, how much more validation
do you need?"
29,376142,378804,"That was a long time ago, Mr. Norquist."
30,388588,389816,"Hi, you."
31,444010,446308,""" She always felt like half a person."
32,446412,448744,""" Half a person with half a soul."
33,448848,453342,""" Sometimes, if she dreamed hard enough,
she could bring the two halves together."
34,453453,457514,""" But she always woke to the same feelings
of loneliness and loss. """
35,466399,468560,"- Hey.
- Hi."
36,469001,470969,Where'd you find a blue rose?
37,471070,474471,I passed a place on the street. Here.
38,474574,475871,Thank you.
39,481113,482375,You okay?
40,484050,485142,Yeah.
41,486319,487513,Got me.
42,503035,506061,"Sheriff, several federal agents
were seen entering city hall"
43,506172,508606,"- about an hour ago.
- Why has the coroner's report been sealed?"
44,508708,509936,"- Sheriff! Jennifer Toland...
- Please."
45,510042,511066,...disappeared almost two months ago.
46,511177,512804,Serial killers typically...
47,512912,515472,"We have one dead girl,
and you're talking serial killer!"
48,515581,518709,"- You people astound me.
- Could you just give us a name?"
49,519519,522249,Who has not yet found the aortic arches?
50,524991,527391,And the super-pharyngeal ganglia?
51,528394,529486,The brain.
52,530263,532857,"Yes, you can barely see that,
even under the microscope."
53,536936,538096,Is that all I am to you?
54,538204,540229,"Just something to relax you
before the game?"
55,540339,543035,"If I cut a worm in half,
will it become two worms?"
56,543142,545303,"No, Pete, that's a myth."
57,546479,549880,"What's it gonna take for me and you
to be together?"
58,549982,552041,A lot more than one blue rose.
59,552151,555143,"Aubrey, I think I'm falling in love with you."
60,556222,559214,"We barely know each other, Jerrod."
61,559325,561384,"- You're delusional.
- No, I'm not."
62,561494,564361,I've never felt this way about a girl before.
63,564463,565862,"- I just keep thinking about you and...
- Jerrod!"
64,565965,569628,"Can you point out for me
the female reproductive organs?"
65,570536,571764,The seminal receptacles.
66,571871,573668,"Yes, I can, actually."
67,577777,578869,That should be it.
68,583282,586274,"Those would be
the male reproductive organs."
69,589655,592920,"The female organs are at the other end
of the worm."
70,595628,598620,"Looks like you need a little more experience
in the female anatomy."
71,601300,603200,"- Oh, my God!
- I'm sorry."
72,612778,615713,"Jennifer Toland's body was discovered
early this morning."
73,616949,620680,"Please don't ask me any questions.
I don't have the details."
74,626926,632193,"Nineteen-year-old female, 5'4 "" tall."
75,637370,640931,"Amputation of individual digits,"
76,641040,643668,possibly on the same or successive days.
77,644944,649278,"Full metacarpal amputation
approximately two weeks later."
78,652785,655845,Ragged cuts indicate
79,655955,661689,"near-lethal levels of amphetamines
inducing a state of forced alertness,"
80,661794,665662,suggesting the killer wanted the victim
81,665765,668563,fully conscious during each limb removal.
82,744710,748806,"As we all know,
Jennifer Toland's body was found this week."
83,749448,752281,And we'd like to take a moment of silence.
84,758491,762325,"Now, let's get out there
and win this one for Jennifer Toland!"
85,774907,776340,Come on!
86,819685,821710,Curfew is one hour away.
87,821821,825951,"Attention, curfew, for under 21,
begins in one hour."
88,828761,829853,Why are you...
89,829962,831759,"Just marry him
and start popping out babies."
90,831864,834890,"No way. I'm done sleeping with guys
I'm not in love with."
91,835000,837901,"Oh, like you were some kind
of a sex addict before."
92,838003,839265,But Jerrod loves you.
93,839371,844070,"I'll be 3,000 miles away in January.
I mean, I can't afford to fall in love."
94,844176,845143,That's nice.
95,845244,849237,"It's like someone could stab you
and you'd never even know what..."
96,849348,851714,It's like Mardi Gras or something.
97,851817,856015,"Yeah, I read this story about this killer
who sits behind people in movies"
98,856121,858851,and stabs them with a needle right here.
99,858958,860619,You die like instantly.
100,860726,863593,"Nobody even knows you're dead
until the movie's over and you don't get up."
101,863696,865027,It's so creep...
102,865130,869328,"Beat them, baby! Owls, number one!
Let's do this! Yeah!"
103,869435,870402,"Oh, my God!"
104,870502,872595,"Oh, so weird!"
105,872705,874502,Everybody is insanely crazy.
106,874607,877098,"- Hey!
- Hey!"
107,877209,878642,I'm looking for Jerrod.
108,878744,881372,"- Oh, good luck.
- Oh, there he is! Jerrod!"
109,881480,883141,"- Jerrod!
- Aubrey, wait!"
110,883249,885979,I'll meet you in front of the Fremont at 11:45.
111,886518,887712,Jerrod!
112,914146,915340,Aubrey?
113,917483,918677,Aubrey!
114,920619,921813,Aubrey!
115,923622,926182,"Okay, so I am officially freaking out."
116,926292,929193,"I'm just gonna try her cell again,
and you've got to try Jerrod."
117,929295,930387,Okay.
118,934600,937694,"- I think it's coming from over here!
- Don't hang up your phone!"
119,937803,939395,"- Hello? Hey.
- It's me."
120,939505,941029,Where's Aubrey?
121,941840,942898,What?
122,944910,947344,"Okay, where did she park?"
123,947446,949277,Where'd she park her car?
124,949381,951713,"- Come on, you rode with her.
- Yeah, it was on that street."
125,951817,954581,"- It's that street, you know the one.
- No. No, I don't know the one."
126,954687,956314,"- Tell me.
- Yeah, I do. It's in front"
127,956422,959482,"- of the little art gallery with the gate.
- Yeah."
128,959758,961555,"- Wait!
- Wait a second!"
129,964897,967058,There it is! There's her car!
130,1051517,1052745,Help!
131,1052851,1053875,No!
132,1056755,1057779,No!
133,1064530,1066361,She...
134,1066465,1068433,She lives on this thing.
135,1069234,1070724,It's her life.
136,1072438,1073666,Writing.
137,1075007,1076736,She loves to write.
138,1078243,1081269,"Mr. Fleming, I'm gonna have to
take that computer from you."
139,1081380,1083041,I need to make a copy of the hard drive.
140,1083148,1085639,"Take it, please. Anything you need."
141,1094827,1096089,"Daniel,"
142,1097096,1100224,"is there any chance
that your daughter might have run away?"
143,1100332,1103699,Was she unhappy about anything?
144,1103802,1105394,Aubrey? Unhappy?
145,1108740,1109707,No.
146,1110876,1112173,Not at all.
147,1112711,1113871,You sure about that?
148,1115681,1118616,"Where were you
when Aubrey left for the game?"
149,1120319,1125586,"I was on a conference call,
so I was in the dining room, pacing."
150,1125691,1128091,"You know, I always pace when I..."
151,1128193,1130821,Do you remember saying goodbye to her?
152,1132631,1135156,Can you describe how she looked?
153,1135267,1136928,What her mood was?
154,1148614,1150946,"You know, you don't always"
155,1151049,1152573,"think to take a mental picture
of your daughter"
156,1152684,1154982,every time she leaves the house.
157,1155454,1157388,"I used to do that, but..."
158,1158957,1161585,"""The Worrier,"" Daniel used to call me."
159,1167766,1169393,Do you have kids?
160,1175908,1177773,"It falls away, and..."
161,1180846,1182780,They always come back.
162,1182881,1186044,"You know, they never don't come back.
It just..."
163,1298930,1300056,Aubrey!
164,1305270,1306464,Aubrey!
165,1324523,1326388,Keep your eyes peeled!
166,1357155,1359749,"3:00 sharp? Yeah, good man."
167,1362861,1364726,Jesus.
168,1364830,1368095,"Well, I hope our little investigation
doesn't interfere with bingo night."
169,1398363,1400729,"I feel like half a person, you know?"
170,1400832,1404233,"And, all of a sudden, it dawns on me,
this is Steve and Vicky."
171,1404336,1406702,"Steve and Vicky this, Steve and Vicky that."
172,1406805,1410036,We're finishing each other's sentences here.
173,1410142,1413077,"Hell, we're finishing each other's thoughts."
174,1437068,1438126,Hey!
175,1440739,1442001,You okay?
176,1444509,1445567,Hey!
177,1455554,1456646,Yeah?
178,1458390,1459584,Susan!
179,1460692,1462159,Is she alive?
180,1462794,1466389,"- Oh, God!
- Okay, okay, okay, okay. How bad?"
181,1480879,1483211,Her blood pressure's increasing.
182,1485150,1486913,"- She's fucking awake.
- For God's sake."
183,1487018,1489043,Increasing her thiopental.
184,1499464,1503127,"Orthopedic saw. Orthopedic saw, now."
185,1512210,1514872,"Well! Hey, beautiful."
186,1516715,1519707,"Nobody expected to see those eyes
for a while."
187,1525457,1528085,"- I'm in the hospital?
- You're safe now."
188,1529261,1532230,What hospital am I in? Where?
189,1534165,1535132,I'll...
190,1535967,1537992,"I'll get the doctor, okay?"
191,1553518,1554780,"Oh, my..."
192,1554886,1556251,"Oh, my God!"
193,1568266,1571360,"Oh, my God! Oh, my God!"
194,1588753,1590118,"Look, the press is asking questions."
195,1590221,1594021,"- Now, I think what we should do...
- No, no, no. No comments, no leaks."
196,1594125,1597185,"Aubrey Fleming is still missing
as far as the world's concerned,"
197,1597295,1599058,"- and I want to keep it that way.
- Everyone at the hospital's"
198,1599164,1601632,"been threatened with dismissal
and obstruction of justice charges"
199,1601733,1603963,if they leak a word of this. We clear?
200,1604069,1606333,Plausible explanations. Okay.
201,1606438,1609839,"Number one, he was done with her.
He left her on the side of the road to die."
202,1609941,1612535,But he didn't count on her will to live.
203,1612644,1614111,I don't buy it.
204,1614212,1616908,"He wasn't done with Aubrey Fleming,
not by a long shot."
205,1617015,1620246,"He only had her for what? 17, 18 days?"
206,1620352,1624379,"The sectioning was just getting started.
Her leg wasn't completely off."
207,1624489,1627424,"And why the hell would he sew her fingers
back onto her hand,"
208,1627525,1628583,"- and her hand back onto...
- But wait a minute."
209,1628693,1630183,"Remember, Jennifer Toland drowned."
210,1631096,1633758,"I mean, now, it's too early
for an accurate profile but..."
211,1634132,1637033,I think the cutting is about punishment.
212,1637135,1639433,"And when the punishment is over,"
213,1639537,1642904,"he finds a way for the death to happen,
so he doesn't have to be there."
214,1643008,1647206,"Now, he doesn't like the dying part,
but he's got to make sure it happens."
215,1648580,1650138,Dying freaks him out.
216,1650248,1651442,I think she escaped.
217,1651549,1654382,"The only answer
that makes any sense to me."
218,1658890,1660414,"Hey, honey pie."
219,1664663,1666324,Sure did miss you.
220,1669734,1674137,"We're gonna have you home in no time,
and we can put all this behind us."
221,1675373,1676362,Home?
222,1676474,1678101,"Isn't that right, Doctor?"
223,1678209,1680302,Aubrey's been very brave.
224,1680412,1683848,"With any luck,
we'll have her out of the ICU tomorrow."
225,1686418,1688682,Who is Aubrey?
226,1692724,1694123,Who are you?
227,1697028,1698757,Who is...
228,1698863,1700660,"- Who is Aubrey?
- No."
229,1702500,1704730,"- Oh, my God.
- I don't..."
230,1704836,1706861,"I just, I don't..."
231,1709040,1712032,"Don't touch me. Don't touch me.
Please, don't."
232,1725256,1728020,"Aubrey Fleming,
session number one, 10:30 a.m."
233,1729527,1731358,I'm not Aubrey Fleming.
234,1731463,1732862,Then what should I call you?
235,1732964,1735057,My real name would be nice.
236,1737202,1738965,"Session number one, 10:30 a.m."
237,1740572,1741971,Dakota Moss.
238,1743108,1744507,Listen.
239,1744609,1748545,"I know I may look a little like
this Aubrey chick, or whatever her name is,"
240,1748646,1751877,"but I'm not her, okay? I am not her."
241,1753151,1755210,"Let's get some housekeeping
out of the way first."
242,1756554,1759284,"- Date of birth?
- June 9th, 1988."
243,1760458,1762358,Social Security number?
244,1763394,1764884,I don't have one.
245,1766064,1768464,"Look, when you're raised by a crack addict
who thinks the less"
246,1768566,1771194,"that people know about you, the better,
it kind of sticks."
247,1772303,1775295,"I made up a Social Security number
when I needed one,"
248,1775406,1778705,"but I couldn't keep a job long enough
for that to matter."
249,1778810,1781904,A job? You're fairly young to be working.
250,1782013,1786347,"Yeah, well, I didn't grow up in New Salem.
I grew up in the real world."
251,1788119,1789518,You mentioned your mother.
252,1790054,1791021,Dead.
253,1791322,1792721,How did your mother die?
254,1793158,1794284,O.D.
255,1797162,1798629,How long ago?
256,1802967,1807267,"Six, seven months ago.
We weren't really what you'd call close"
257,1807372,1809704,since she'd started using again.
258,1809808,1814074,"But I could always count on seeing
the palm of her hand on payday."
259,1814179,1818309,"When she didn't come around,
I assumed she was dead."
260,1818416,1821112,Wasn't too hard to see that one coming.
261,1860925,1862449,She was stupid.
262,1864028,1865290,Pathetic.
263,1866631,1868098,And a junkie.
264,1883481,1884914,Did your mother leave you anything?
265,1885583,1887778,Yeah. $11.
266,1898930,1902388,"Tell me something. Why does a shrink need
your Social Security number?"
267,1903701,1905999,I like to have it for my files.
268,1907305,1909273,"You're fuzz, aren't you?"
269,1912010,1913944,I don't want to lie to you.
270,1914045,1917412,"I am a psychiatrist,
but I also do work for the FBI."
271,1917515,1919346,I fucking knew it.
272,1919450,1922146,"It doesn't mean I care any less
for the work we do here."
273,1923288,1927247,"You know, you're wasting your time
because I've got nothing to tell you."
274,1927358,1930725,"In cases like these, there are specific details
that we withhold from the public"
275,1930828,1934889,"to separate the serial confessors
from the serial killer."
276,1934999,1938093,"The pattern of your injuries is identical.
Not similar,"
277,1939570,1942539,"identical, with another young girl."
278,1942640,1944972,"A murdered girl, from New Salem."
279,1947078,1948340,Prove it.
280,1961059,1962492,"Oh, my God."
281,1965029,1966792,"Hello, Mrs. Fleming."
282,1968466,1969524,Hey.
283,1970601,1972034,Hi.
284,1972136,1975867,"I brought some of your things
to make you feel more at home."
285,1977141,1982010,This is Mr. Gervais.
286,1989587,1990952,All right.
287,1991055,1995458,"Look, I'm sure you're a very nice woman.
Really. But I don't have a home."
288,1995560,1998996,"And, yeah, I just want to know
when I get to get out of here."
289,1999097,2004194,"You don't remember Mr. Gervais
and sleeping with him?"
290,2006170,2007262,Nope.
291,2012043,2013874,And this is some of your...
292,2014078,2018481,"Some... Some of Aubrey's favorite music,
on that."
293,2019350,2021944,"Now, where are... Shit."
294,2022987,2025080,How could I forget the earphones?
295,2026591,2029492,This was the most important thing in here.
296,2029594,2032085,"You love your music, and, you know,"
297,2032196,2035688,"they use music to help
people come out of comas."
298,2035800,2038394,Do I look like I'm in a fucking coma?
299,2045977,2048036,What else you got in the bag?
300,2048146,2050307,What's that? Is it a picture?
301,2050415,2051404,Yeah.
302,2051549,2054916,"Dr. Mancuso to the ER.
Dr. Mancuso to the ER."
303,2055019,2056111,Here.
304,2061392,2062620,Where...
305,2063961,2065326,Who gave you this?
306,2065696,2066993,Is something happening?
307,2068833,2070164,"When I was a little girl, I..."
308,2070268,2072793,You were seven.
309,2072904,2075429,We all went to Hawaii for Christmas.
310,2077909,2081310,The pictures are almost the same.
311,2082747,2086114,"My bathing suit was different,
the water wasn't blue."
