Number,StartMilliseconds,EndMilliseconds,Text
1,173758,175509,"- Yeah, sure.
- Then what?"
2,175593,177386,"We can get tickets
for something to see?"
3,178512,180806,"- We can see the symphony.
- Huh?"
4,180890,182683,It'll finish really late.
5,182767,184101,We can catch the last train out.
6,252128,254255,"Excuse me.
Could you give me a light?"
7,254338,256549,"Yeah, sure."
8,256632,258175,"You're Americans, yes?"
9,258259,259927,"Yes, sir. We're on a summer trip."
10,262596,266392,"Please, take this to your embassy."
11,266475,268853,It is vital. I have no other way.
12,268936,270104,Come on. Let's get out of here.
13,270187,272940,"Do not go back to your hotel,
straight to the embassy."
14,273023,276485,"Give this only to Deputy Chief of Mission.
Understand?"
15,328162,330206,"- Thank you.
- Mm."
16,330289,332750,"- Emily. Lovely as ever.
- Ah!"
17,332833,335544,"- You do brighten up the old place.
- Oh, thank you."
18,335628,336670,"- Emily?
- Sir."
19,336754,338005,"- Please sit down.
- Ah."
20,339465,341759,I've brought you boys a present.
21,351227,352853,"Ah, thank you."
22,354730,355731,"Rachel, step out."
23,361904,365032,"- ""I fear a nuclear war is coming"
24,365115,367910,"and I want to help you prevent it."""
25,367993,369078,It's got my attention.
26,370538,371872,He's smart.
27,371956,374291,Gave us a photo only we'd have copies of
28,374375,377253,"from a few years ago
at our embassy in Turkey."
29,377336,382841,"Say hello
to Colonel Oleg Vladimirovich Penkovsky."
30,382925,384593,"Code name ""Ironbark."""
31,384677,388639,"Artillery officer during the war,
decorated 13 times."
32,388722,392059,"Now, he's back in Moscow running the State
Committee for Scientific Research."
33,392142,393727,But that's just a cover.
34,395145,396564,He's GRU.
35,401819,403862,Why the dossier?
36,403946,405781,"Hand like this, I keep close to my chest."
37,405864,407950,"Because they have no way
to make contact."
38,408033,413080,"The CIA is weak in Moscow
after that... disaster with Popov."
39,413163,415082,Am I right?
40,415165,418294,"We're thin on the ground.
We need your help."
41,420379,421380,Let's hear him out.
42,421463,423716,"We've got a number
of good officers in our embassy."
43,423799,426969,"I'll have one make contact with Penkovsky,
get this sorted out."
44,427052,428345,I did have a thought.
45,429346,432600,This is a GRU Colonel. He's so visible.
46,432683,435853,"I'm worried we could blow Penkovsky
just by making an approach."
47,435936,439231,"That's always a risk.
What would the CIA have us do instead?"
48,440232,441483,I don't know.
49,441567,448282,"Maybe use someone outside the embassy
who the KGB won't suspect?"
50,448365,451952,"Say a businessman who travels
to that part of the world."
51,452036,456206,"Do we know of someone
who could fit the bill?"
52,456290,460544,"I have to warn you,
I have a pretty good feeling about this."
53,463130,464131,"Oh, hell."
54,466258,469511,"And Greville,
that is the saddest thing I've ever seen."
55,469595,471722,"Well, serves me right,"
56,471805,474558,- I should keep my mouth shut.
57,474642,477519,Now we have to make it up.
58,477603,480773,"- We probably have some brochures.
- Of what?"
59,480856,482566,"A drink first, I think."
60,485736,487488,You know my reputation.
61,487571,489865,- Parts I want you to know anyway.
62,489948,493869,"I represent the top manufacturers
who sell the best products on the market."
63,493952,497498,"So, in combination with you gentlemen
knowing your business,"
64,497581,500584,"I think it'd be much better
if instead of my usual song and dance,"
65,500668,503504,"I just listen.
You tell me what your problems are,"
66,503587,506840,"and if I think I have a client
that may have a solution,"
67,506924,510969,"let's talk it through.
If not, let's keep drinking."
68,511053,514056,"So, tell me, what do you need?"
69,514139,515683,"- Thanks, Greville.
- Bye."
70,546672,548799,It still doesn't add up.
71,548882,551176,"Well, did you miss something maybe?"
72,552761,554847,"- Like carrying the four?
- Oh, yes."
73,554930,556849,"- Oh, yes.
- How are you?"
74,556932,559518,"Oh, very well.
Except our son keeps confusing"
75,559601,561979,"me helping with his homework
with me doing it for him."
76,562062,563689,"- Oh.
- How was your day?"
77,563772,567693,"Oh, the usual. Some empty flatteries
and blatant sucking up."
78,567776,570404,"No, really, you should have seen me.
I sold a dozen lace"
